203,42,16,0,3
219,47,-9,0,2
165,19,-21,0,2
1,-50,-40,0,2
32,-43,-33,0,3
140,4,-8,0,2
29,-44,-39,0,2
150,10,-15,0,2
210,46,-46,0,2
200,41,-27,0,2
155,13,-6,0,3
65,-31,-39,0,2
166,19,-17,0,2
8,-48,-38,0,2
44,-39,-37,0,2
183,29,28,0,2
38,-40,-50,0,2
175,25,25,0,2
184,32,-37,0,2
161,17,-20,0,3
104,-13,-27,0,3
154,11,-15,0,3
141,4,27,0,2
213,46,-27,0,2
193,37,-10,0,3
164,18,-23,0,2
64,-31,-49,0,2
199,40,-32,0,2
0,-50,-43,0,2
195,37,24,0,2
222,48,-15,0,2
149,10,-16,0,2
211,46,-38,0,4
190,35,-6,0,2
187,35,-38,0,3
186,33,17,0,2
153,11,-16,0,2
84,-22,-48,0,2
139,3,-5,0,3
215,46,3,0,2
216,47,-47,0,2
129,-3,-1,0,2
221,48,-25,0,2
204,43,-10,0,2
223,48,2,0,2
182,29,19,0,2
212,46,-34,0,2
218,47,-37,0,3
173,22,28,0,2
207,45,-19,0,3
144,6,20,0,3
158,16,-19,0,2
112,-10,-1,0,3
209,45,0,0,3
188,35,-30,0,2
107,-13,-2,0,3
172,22,24,0,2
167,19,-11,0,2
75,-26,-50,0,3
214,46,-21,0,2
208,45,-7,0,3
80,-24,-50,0,3
174,24,-44,0,2
217,47,-46,0,2
67,-30,-42,0,2
136,2,-49,0,2
185,33,-33,0,1
7,-48,-43,0,2
176,26,-46,0,3
